序号,学校名称,排名,校名,校名,校名,校名,校名,校名,校名
14,安庆师范大学,419,安庆,师范,师范大学,,,,
15,淮北师范大学,427,淮北,师范,师范大学,,,,
16,黄山学院,498,黄山,,,,,,
17,皖西学院,573,皖西,,,,,,
18,滁州学院,541,滁州,,,,,,
19,安徽财经大学,298,安徽,财经,财经大学,,,,
20,宿州学院,635,宿州,,,,,,
21,巢湖学院,548,巢湖,,,,,,
22,淮南师范学院,613,淮南,师范,师范学院,,,,
23,铜陵学院,613,铜陵,,,,,,
24,安徽建筑大学,292,安徽,建筑,,,,,
25,安徽科技学院,523,安徽,科技,,,,,
26,安徽三联学院,#N/A,安徽,三联,,,,,
27,合肥学院,391,合肥,,,,,,
28,蚌埠学院,680,蚌埠,,,,,,
29,池州学院,665,池州,,,,,,
30,安徽新华学院,#N/A,安徽,新华,,,,,
31,安徽文达信息工程学院,#N/A,安徽,文,达,信息,工程,工程学院,
32,亳州学院,720,亳州,,,,,,
33,安徽外国语学院,#N/A,安徽,外国语,,,,,
34,安徽财经大学商学院,#N/A,安徽,财经,财经大学,商学,商学院,,
35,安徽大学江淮学院,#N/A,安徽,安徽大学,江淮,,,,
36,安徽信息工程学院,#N/A,安徽,信息,工程,工程学院,,,
37,安徽工业大学工商学院,#N/A,安徽,工业,工商,商学,商学院,工商学院,
38,安徽建筑大学城市建设学院,#N/A,安徽,建筑,城市,建设,,,
39,安徽农业大学经济技术学院,#N/A,安徽,农业,农业大学,经济,技术,,
40,安徽师范大学皖江学院,#N/A,安徽,师范,安徽师范大学,皖江,,,
41,安徽医科大学临床医学院,#N/A,安徽,医科大,安徽医科大学,临床,医学,医学院,
42,阜阳师范学院信息工程学院,#N/A,阜阳,师范,师范学院,信息,工程,工程学院,
43,淮北师范大学信息学院,#N/A,淮北,师范,师范大学,信息,,,
44,合肥师范学院,465,合肥,师范,师范学院,,,,
45,河海大学文天学院,#N/A,河海,海大,河海大学,文天,,,
46,安徽职业技术学院,#N/A,安徽,职业,技术,,,,
47,淮北职业技术学院,#N/A,淮北,职业,技术,,,,
48,芜湖职业技术学院,#N/A,芜湖,职业,技术,,,,
49,淮南联合大学,#N/A,淮南,联合,,,,,
50,安徽商贸职业技术学院,#N/A,安徽,商贸,职业,技术,,,
51,安徽水利水电职业技术学院,#N/A,安徽,水利,利水,水电,水利水电,职业,技术
52,阜阳职业技术学院,#N/A,阜阳,职业,技术,,,,
53,铜陵职业技术学院,#N/A,铜陵,职业,技术,,,,
54,民办万博科技职业学院,#N/A,民办,万博,科技,职业,,,
55,安徽警官职业学院,#N/A,安徽,警官,职业,,,,
56,淮南职业技术学院,#N/A,淮南,职业,技术,,,,
57,安徽工业经济职业技术学院,#N/A,安徽,工业,经济,职业,技术,,
58,合肥通用职业技术学院,#N/A,合肥,通用,职业,技术,,,
59,安徽工贸职业技术学院,#N/A,安徽,工贸,职业,技术,,,
60,宿州职业技术学院,#N/A,宿州,职业,技术,,,,
61,六安职业技术学院,#N/A,六安,职业,技术,,,,
62,安徽电子信息职业技术学院,#N/A,安徽,电子,信息,电子信息,职业,技术,
63,民办合肥经济技术职业学院,#N/A,民办,合肥,经济,技术,职业,,
64,安徽交通职业技术学院,#N/A,安徽,交通,职业,技术,,,
65,安徽体育运动职业技术学院,#N/A,安徽,体育,运动,体育运动,职业,技术,
66,安徽中医药高等专科学校,#N/A,安徽,中医,医药,中医药,专科,专科学校,
67,安徽医学高等专科学校,#N/A,安徽,医学,专科,专科学校,,,
68,合肥职业技术学院,#N/A,合肥,职业,技术,,,,
69,滁州职业技术学院,#N/A,滁州,职业,技术,,,,
70,池州职业技术学院,#N/A,池州,职业,技术,,,,
71,宣城职业技术学院,#N/A,宣城,职业,技术,,,,
72,安徽广播影视职业技术学院,#N/A,安徽,广播,影视,职业,技术,,
73,民办合肥滨湖职业技术学院,#N/A,民办,合肥,滨湖,职业,技术,,
74,安徽电气工程职业技术学院,#N/A,安徽,电气,工程,电气工程,职业,技术,
75,安徽冶金科技职业学院,#N/A,安徽,冶金,科技,职业,,,
76,安徽城市管理职业学院,#N/A,安徽,城市,管理,职业,,,
77,安徽机电职业技术学院,#N/A,安徽,机电,职业,技术,,,
78,安徽工商职业学院,#N/A,安徽,工商,商职,职业,工商职业,,
79,安徽中澳科技职业学院,#N/A,安徽,中澳,科技,职业,,,
80,阜阳科技职业学院,#N/A,阜阳,科技,职业,,,,
81,亳州职业技术学院,#N/A,亳州,职业,技术,,,,
82,安徽国防科技职业学院,#N/A,安徽,国防,科技,国防科,国防科技,职业,
83,安庆职业技术学院,#N/A,安庆,职业,技术,,,,
84,安徽艺术职业学院,#N/A,安徽,艺术,职业,,,,
85,马鞍山师范高等专科学校,#N/A,马鞍,鞍山,马鞍山,师范,专科,专科学校,
86,安徽财贸职业学院,#N/A,安徽,财贸,职业,,,,
87,安徽国际商务职业学院,#N/A,安徽,国际,商务,职业,,,
88,安徽公安职业学院,#N/A,安徽,公安,职业,,,,
89,安徽林业职业技术学院,#N/A,安徽,林业,职业,技术,,,
90,安徽审计职业学院,#N/A,安徽,审计,职业,,,,
91,安徽新闻出版职业技术学院,#N/A,安徽,新闻,闻出,出版,新闻出版,职业,技术
92,安徽邮电职业技术学院,#N/A,安徽,邮电,职业,技术,,,
93,安徽工业职业技术学院,#N/A,安徽,工业,职业,技术,,,
94,民办合肥财经职业学院,#N/A,民办,合肥,财经,职业,,,
95,安庆医药高等专科学校,#N/A,安庆,医药,专科,专科学校,,,
96,安徽涉外经济职业学院,#N/A,安徽,涉外,外经,经济,涉外经济,职业,
97,安徽绿海商务职业学院,#N/A,安徽,绿海,商务,职业,,,
98,合肥共达职业技术学院,#N/A,合肥,共达,职业,技术,,,
99,蚌埠经济技术职业学院,#N/A,蚌埠,经济,技术,职业,,,
100,民办安徽旅游职业学院,#N/A,民办,安徽,旅游,职业,,,
101,徽商职业学院,#N/A,徽商,职业,,,,,
102,马鞍山职业技术学院,#N/A,马鞍,鞍山,马鞍山,职业,技术,,
103,安徽现代信息工程职业学院,#N/A,安徽,信息,工程,信息工程,职业,,
104,安徽矿业职业技术学院,#N/A,安徽,矿业,职业,技术,,,
105,合肥信息技术职业学院,#N/A,合肥,信息,技术,信息技术,职业,,
106,桐城师范高等专科学校,#N/A,桐城,师范,专科,专科学校,,,
107,黄山职业技术学院,#N/A,黄山,职业,技术,,,,
108,滁州城市职业学院,#N/A,滁州,城市,职业,,,,
109,安徽汽车职业技术学院,#N/A,安徽,汽车,职业,技术,,,
110,皖西卫生职业学院,#N/A,皖西,卫生,职业,,,,
111,合肥幼儿师范高等专科学校,#N/A,合肥,幼儿,师范,专科,专科学校,,
112,安徽长江职业学院,#N/A,安徽,长江,职业,,,,
113,安徽扬子职业技术学院,#N/A,安徽,扬子,职业,技术,,,
114,安徽黄梅戏艺术职业学院,#N/A,安徽,黄梅,黄梅戏,艺术,职业,,
115,安徽粮食工程职业学院,#N/A,安徽,粮食,工程,职业,,,
116,安徽卫生健康职业学院,#N/A,安徽,卫生,健康,职业,,,
117,合肥科技职业学院,#N/A,合肥,科技,职业,,,,
118,皖北卫生职业学院,#N/A,皖北,卫生,职业,,,,
119,阜阳幼儿师范高等专科学校,#N/A,阜阳,幼儿,师范,专科,专科学校,,
1,厦门大学,22,厦门,,,,,,
2,华侨大学,127,华侨,,,,,,
3,福州大学,73,福州,,,,,,
4,福建工程学院,367,福建,工程,工程学院,,,,
5,福建农林大学,119,福建,农林,,,,,
6,集美大学,256,集美,,,,,,
7,福建医科大学,280,福建,医科大,医科大学,,,,
8,福建中医药大学,307,福建,中医,医药,中医药,中医药大学,,
9,福建师范大学,83,福建,师范,,,,,
10,闽江学院,427,闽江,,,,,,
11,武夷学院,548,武夷,,,,,,
12,宁德师范学院,613,宁德,师范,师范学院,,,,
13,泉州师范学院,498,泉州,师范,师范学院,,,,
14,闽南师范大学,424,闽南,师范,师范大学,,,,
15,厦门理工学院,396,厦门,理工,工学院,理工学院,,,
16,三明学院,577,三明,,,,,,
17,龙岩学院,577,龙岩,,,,,,
18,福建商学院,723,福建,商学,商学院,,,,
19,福建警察学院,暂无,福建,警察,,,,,
20,莆田学院,523,莆田,,,,,,
21,仰恩大学,#N/A,仰恩,,,,,,
22,厦门医学院,730,厦门,医学,医学院,,,,
23,厦门华厦学院,#N/A,厦门,华厦,,,,,
24,闽南理工学院,#N/A,闽南,理工,工学院,理工学院,,,
25,福建师范大学闽南科技学院,#N/A,福建,师范,福建师范大学,闽南,科技,,
26,福建农林大学东方学院,#N/A,福建,农林,东方,,,,
27,厦门工学院,#N/A,厦门,工学院,,,,,
28,阳光学院,#N/A,阳光,,,,,,
29,厦门大学嘉庚学院,#N/A,厦门,厦门大学,嘉庚,,,,
30,福州大学至诚学院,#N/A,福州,福州大学,至诚,,,,
31,集美大学诚毅学院,#N/A,集美,诚毅,,,,,
32,福建师范大学协和学院,#N/A,福建,师范,福建师范大学,协和,,,
33,福州外语外贸学院,#N/A,福州,外语,外贸,外语外贸,,,
34,福建江夏学院,557,福建,江夏,,,,,
35,泉州信息工程学院,#N/A,泉州,信息,工程,工程学院,,,
36,福州理工学院,#N/A,福州,理工,工学院,理工学院,,,
37,福建农林大学金山学院,#N/A,福建,农林,金山,,,,
38,福建船政交通职业学院,#N/A,福建,船政,交通,职业,,,
39,漳州职业技术学院,#N/A,漳州,职业,技术,,,,
40,闽西职业技术学院,#N/A,闽西,职业,技术,,,,
41,黎明职业大学,#N/A,黎明,职业,,,,,
42,福建华南女子职业学院,#N/A,福建,华南,女子,职业,,,
43,福州职业技术学院,#N/A,福州,职业,技术,,,,
44,福建林业职业技术学院,#N/A,福建,林业,职业,技术,,,
45,福建信息职业技术学院,#N/A,福建,信息,职业,技术,,,
46,福建水利电力职业技术学院,#N/A,福建,水利,电力,水利电力,职业,技术,
47,福建电力职业技术学院,#N/A,福建,电力,职业,技术,,,
48,厦门海洋职业技术学院,#N/A,厦门,海洋,职业,技术,,,
49,福建农业职业技术学院,#N/A,福建,农业,职业,技术,,,
50,福建卫生职业技术学院,#N/A,福建,卫生,职业,技术,,,
51,泉州医学高等专科学校,#N/A,泉州,医学,专科,专科学校,,,
52,福州英华职业学院,#N/A,福州,英华,职业,,,,
53,泉州纺织服装职业学院,#N/A,泉州,纺织,服装,职业,,,
54,泉州华光职业学院,#N/A,泉州,华光,职业,,,,
55,泉州理工职业学院,#N/A,泉州,理工,职业,,,,
56,福建警官职业学院,#N/A,福建,警官,职业,,,,
57,闽北职业技术学院,#N/A,闽北,职业,技术,,,,
58,福州黎明职业技术学院,#N/A,福州,黎明,职业,技术,,,
59,厦门演艺职业学院,#N/A,厦门,演艺,职业,,,,
60,厦门华天涉外职业技术学院,#N/A,厦门,华天,涉外,职业,技术,,
61,福州科技职业技术学院,#N/A,福州,科技,职业,技术,,,
62,泉州经贸职业技术学院,#N/A,泉州,经贸,职业,技术,,,
63,"福建对外经济贸易
职业技术学院",#N/A,福建,对外,经济,贸易,,,
64,湄洲湾职业技术学院,#N/A,湄洲湾,职业,技术,,,,
65,福建生物工程职业技术学院,#N/A,福建,生物,工程,生物工程,职业,技术,
66,福建艺术职业学院,#N/A,福建,艺术,职业,,,,
67,福建幼儿师范高等专科学校,#N/A,福建,幼儿,师范,专科,专科学校,,
68,厦门城市职业学院,#N/A,厦门,城市,职业,,,,
69,泉州工艺美术职业学院,#N/A,泉州,工艺,美术,工艺美术,职业,,
70,三明医学科技职业学院,#N/A,三明,医学,科技,职业,,,
71,宁德职业技术学院,#N/A,宁德,职业,技术,,,,
72,福州软件职业技术学院,#N/A,福州,软件,职业,技术,,,
73,厦门兴才职业技术学院,#N/A,厦门,兴才,职业,技术,,,
74,厦门软件职业技术学院,#N/A,厦门,软件,职业,技术,,,
75,福建体育职业技术学院,#N/A,福建,体育,职业,技术,,,
76,漳州城市职业学院,#N/A,漳州,城市,职业,,,,
77,厦门南洋职业学院,#N/A,厦门,南洋,职业,,,,
78,厦门东海职业技术学院,#N/A,厦门,东海,职业,技术,,,
79,漳州科技职业学院,#N/A,漳州,科技,职业,,,,
80,漳州理工职业学院,#N/A,漳州,理工,职业,,,,
81,武夷山职业学院,#N/A,武夷,武夷山,职业,,,,
82,漳州卫生职业学院,#N/A,漳州,卫生,职业,,,,
83,泉州海洋职业学院,#N/A,泉州,海洋,职业,,,,
84,泉州轻工职业学院,#N/A,泉州,轻工,职业,,,,
85,厦门安防科技职业学院,#N/A,厦门,安防,科技,职业,,,
86,泉州幼儿师范高等专科学校,#N/A,泉州,幼儿,师范,专科,专科学校,,
87,闽江师范高等专科学校,#N/A,闽江,师范,专科,专科学校,,,
88,泉州工程职业技术学院,#N/A,泉州,工程,职业,技术,,,
89,福州墨尔本理工职业学院,#N/A,福州,墨尔本,理工,职业,,,
1,南昌大学,64,南昌,,,,,,
2,华东交通大学,225,华东,交通,,,,,
3,东华理工大学,310,东华,理工,理工大,理工大学,,,
4,南昌航空大学,239,南昌,航空,,,,,
5,江西理工大学,230,江西,理工,理工大,理工大学,,,
6,景德镇陶瓷大学,261,景德镇,陶瓷,,,,,
7,江西农业大学,254,江西,农业,,,,,
8,江西中医药大学,288,江西,中医,医药,中医药,中医药大学,,
9,赣南医学院,584,赣南,医学,医学院,,,,
10,江西师范大学,135,江西,师范,,,,,
11,上饶师范学院,593,上饶,师范,师范学院,,,,
12,宜春学院,541,宜春,,,,,,
13,赣南师范大学,323,赣南,师范,师范大学,,,,
14,井冈山大学,411,井冈,冈山,井冈山,,,,
15,江西财经大学,150,江西,财经,,,,,
16,江西科技学院,#N/A,江西,科技,,,,,
17,景德镇学院,693,景德镇,,,,,,
18,萍乡学院,658,萍乡,,,,,,
19,江西科技师范大学,416,江西,科技,师范,师范大学,,,
20,南昌工程学院,427,南昌,工程,工程学院,,,,
21,江西警察学院,暂无,江西,警察,,,,,
22,新余学院,680,新余,,,,,,
23,九江学院,437,九江,,,,,,
24,江西工程学院,#N/A,江西,工程,工程学院,,,,
25,南昌理工学院,#N/A,南昌,理工,工学院,理工学院,,,
26,江西应用科技学院,#N/A,江西,科技,,,,,
27,江西服装学院,#N/A,江西,服装,服装学院,,,,
28,南昌工学院,#N/A,南昌,工学院,,,,,
29,南昌大学科学技术学院,#N/A,南昌,南昌大学,技术,科学技术,,,
30,南昌大学共青学院,#N/A,南昌,南昌大学,共青,,,,
31,华东交通大学理工学院,#N/A,华东,交通,理工,工学院,理工学院,,
32,东华理工大学长江学院,#N/A,东华,理工,理工大,理工大学,长江,,
33,南昌航空大学科技学院,#N/A,南昌,航空,科技,,,,
34,江西理工大学应用科学学院,#N/A,江西,理工,理工大,理工大学,应用科学,,
35,景德镇陶瓷大学科技艺术学院,#N/A,景德镇,陶瓷,科技,艺术,,,
36,江西农业大学南昌商学院,#N/A,江西,农业,江西农业大学,南昌,商学,商学院,
37,江西中医药大学科技学院,#N/A,江西,中医,医药,中医药,中医药大学,科技,
38,江西师范大学科学技术学院,#N/A,江西,师范,江西师范大学,技术,科学技术,,
39,赣南师范大学科技学院,#N/A,赣南,师范,师范大学,科技,,,
40,江西科技师范大学理工学院,#N/A,江西,科技,师范,师范大学,理工,工学院,理工学院
41,"江西财经大学现代经济管理
学院",#N/A,江西,财经,江西财经大学,经济,管理,,
42,豫章师范学院,716,豫章,师范,师范学院,,,,
43,南昌师范学院,675,南昌,师范,师范学院,,,,
44,上饶幼儿师范高等专科学校,#N/A,上饶,幼儿,师范,专科,专科学校,,
45,抚州幼儿师范高等专科学校,#N/A,抚州,幼儿,师范,专科,专科学校,,
46,江西工业职业技术学院,#N/A,江西,工业,职业,技术,,,
47,江西医学高等专科学校,#N/A,江西,医学,专科,专科学校,,,
48,九江职业大学,#N/A,九江,职业,,,,,
49,九江职业技术学院,#N/A,九江,职业,技术,,,,
50,江西司法警官职业学院,#N/A,江西,司法,警官,职业,,,
51,"江西陶瓷工艺美术职业技术
学院",#N/A,江西,陶瓷,工艺,美术,工艺美术,职业,技术
52,江西旅游商贸职业学院,#N/A,江西,旅游,商贸,职业,,,
53,江西电力职业技术学院,#N/A,江西,电力,职业,技术,,,
54,江西环境工程职业学院,#N/A,江西,环境,工程,环境工程,职业,,
55,江西艺术职业学院,#N/A,江西,艺术,职业,,,,
56,鹰潭职业技术学院,#N/A,鹰潭,职业,技术,,,,
57,江西信息应用职业技术学院,#N/A,江西,信息,职业,技术,,,
58,江西交通职业技术学院,#N/A,江西,交通,职业,技术,,,
59,江西财经职业学院,#N/A,江西,财经,职业,,,,
60,江西应用技术职业学院,#N/A,江西,技术,职业,,,,
61,江西现代职业技术学院,#N/A,江西,职业,技术,,,,
62,江西工业工程职业技术学院,#N/A,江西,工业,工程,职业,技术,,
63,江西机电职业技术学院,#N/A,江西,机电,职业,技术,,,
64,江西科技职业学院,#N/A,江西,科技,职业,,,,
65,南昌职业学院,#N/A,南昌,职业,,,,,
66,江西外语外贸职业学院,#N/A,江西,外语,外贸,外语外贸,职业,,
67,江西工业贸易职业技术学院,#N/A,江西,工业,贸易,工业贸易,职业,技术,
68,宜春职业技术学院,#N/A,宜春,职业,技术,,,,
69,江西应用工程职业学院,#N/A,江西,工程,职业,,,,
70,江西生物科技职业学院,#N/A,江西,生物,科技,生物科技,职业,,
71,江西建设职业技术学院,#N/A,江西,建设,职业,技术,,,
72,抚州职业技术学院,#N/A,抚州,职业,技术,,,,
73,江西中医药高等专科学校,#N/A,江西,中医,医药,中医药,专科,专科学校,
74,江西先锋软件职业技术学院,#N/A,江西,先锋,软件,职业,技术,,
75,江西经济管理职业学院,#N/A,江西,经济,管理,职业,,,
76,江西制造职业技术学院,#N/A,江西,制造,职业,技术,,,
77,江西工程职业学院,#N/A,江西,工程,职业,,,,
78,江西青年职业学院,#N/A,江西,青年,职业,,,,
79,上饶职业技术学院,#N/A,上饶,职业,技术,,,,
80,江西航空职业技术学院,#N/A,江西,航空,职业,技术,,,
81,江西农业工程职业学院,#N/A,江西,农业,工程,职业,,,
82,赣西科技职业学院,#N/A,赣西,科技,职业,,,,
83,江西卫生职业学院,#N/A,江西,卫生,职业,,,,
84,江西新能源科技职业学院,#N/A,江西,能源,新能源,科技,职业,,
85,江西枫林涉外经贸职业学院,#N/A,江西,枫林,涉外,经贸,职业,,
86,江西泰豪动漫职业学院,#N/A,江西,泰豪,动漫,职业,,,
87,江西冶金职业技术学院,#N/A,江西,冶金,职业,技术,,,
88,江西管理职业学院,#N/A,江西,管理,职业,,,,
89,江西传媒职业学院,#N/A,江西,传媒,职业,,,,
90,江西工商职业技术学院,#N/A,江西,工商,商职,职业,工商职业,技术,
91,景德镇陶瓷职业技术学院,#N/A,景德镇,陶瓷,职业,技术,,,
92,共青科技职业学院,#N/A,共青,科技,职业,,,,
93,赣州师范高等专科学校,#N/A,赣州,师范,专科,专科学校,,,
94,江西水利职业学院,#N/A,江西,水利,职业,,,,
95,宜春幼儿师范高等专科学校,#N/A,宜春,幼儿,师范,专科,专科学校,,
96,吉安职业技术学院,#N/A,吉安,职业,技术,,,,
97,江西洪州职业学院,#N/A,江西,洪州,职业,,,,
98,江西师范高等专科学校,#N/A,江西,师范,专科,专科学校,,,
99,南昌影视传播职业学院,#N/A,南昌,影视,传播,职业,,,
100,赣南卫生健康职业学院,#N/A,赣南,卫生,健康,职业,,,
1,山东大学,20,山东,东大,,,,,
2,中国海洋大学,54,中国,海洋,海洋大学,,,,
3,山东科技大学,143,山东,科技,,,,,
4,中国石油大学（华东）,78,中国,石油,石油大学,华东,,,
5,青岛科技大学,201,青岛,科技,,,,,
6,济南大学,193,济南,,,,,,
7,青岛理工大学,242,青岛,理工,理工大,理工大学,,,
8,山东建筑大学,320,山东,建筑,,,,,
9,齐鲁工业大学,98,齐鲁,工业,,,,,
10,山东理工大学,216,山东,理工,理工大,,,,
11,山东农业大学,132,山东,农业,农业大学,,,,
12,青岛农业大学,304,青岛,农业,农业大学,,,,
13,潍坊医学院,476,潍坊,医学,医学院,,,,
14,泰山医学院,313,泰山,医学,医学院,,,,
15,滨州医学院,444,滨州,医学,医学院,,,,
16,山东中医药大学,316,山东,中医,医药,中医药,中医药大学,,
17,济宁医学院,523,济宁,医学,医学院,,,,
18,山东师范大学,126,山东,师范,,,,,
19,曲阜师范大学,201,曲阜,师范,,,,,
20,聊城大学,298,聊城,,,,,,
21,德州学院,533,德州,,,,,,
22,滨州学院,523,滨州,,,,,,
23,鲁东大学,283,鲁东,,,,,,
24,临沂大学,365,临沂,,,,,,
25,泰山学院,613,泰山,,,,,,
26,济宁学院,669,济宁,,,,,,
27,菏泽学院,665,菏泽,,,,,,
28,山东财经大学,189,山东,财经,财经大学,,,,
29,山东体育学院,暂无,山东,体育,,,,,
30,山东艺术学院,暂无,山东,艺术,,,,,
31,齐鲁医药学院,#N/A,齐鲁,医药,,,,,
32,青岛滨海学院,#N/A,青岛,滨海,滨海学院,,,,
33,枣庄学院,646,枣庄,,,,,,
34,山东工艺美术学院,暂无,山东,工艺,美术,术学,美术学,,
35,青岛大学,152,青岛,,,,,,
36,烟台大学,267,烟台,,,,,,
37,潍坊学院,557,潍坊,,,,,,
38,山东警察学院,暂无,山东,警察,,,,,
39,山东交通学院,475,山东,交通,,,,,
40,山东工商学院,413,山东,工商,商学,商学院,工商学院,,
41,山东女子学院,651,山东,女子,,,,,
42,烟台南山学院,#N/A,烟台,南山,,,,,
43,潍坊科技学院,#N/A,潍坊,科技,,,,,
44,山东英才学院,#N/A,山东,英才,,,,,
45,青岛恒星科技学院,#N/A,青岛,恒星,科技,,,,
46,青岛黄海学院,#N/A,青岛,黄海,,,,,
47,山东现代学院,#N/A,山东,,,,,,
48,山东协和学院,#N/A,山东,协和,,,,,
49,烟台大学文经学院,#N/A,烟台,文经,,,,,
50,聊城大学东昌学院,#N/A,聊城,东昌,,,,,
51,青岛理工大学琴岛学院,#N/A,青岛,理工,理工大,理工大学,琴岛,,
52,山东师范大学历山学院,#N/A,山东,师范,山东师范大学,历山,,,
53,山东财经大学燕山学院,#N/A,山东,财经,财经大学,燕山,,,
54,中国石油大学胜利学院,#N/A,中国,石油,石油大学,胜利,,,
55,山东科技大学泰山科技学院,#N/A,山东,科技,泰山,科技,,,
56,山东华宇工学院,#N/A,山东,华宇,工学院,,,,
57,青岛工学院,#N/A,青岛,工学院,,,,,
58,青岛农业大学海都学院,#N/A,青岛,农业,农业大学,海都,,,
59,齐鲁理工学院,#N/A,齐鲁,理工,工学院,理工学院,,,
60,山东财经大学东方学院,#N/A,山东,财经,财经大学,东方,,,
61,济南大学泉城学院,#N/A,济南,泉城,,,,,
62,山东政法学院,613,山东,政法,法学,法学院,政法学院,,
63,齐鲁师范学院,675,齐鲁,师范,师范学院,,,,
64,山东青年政治学院,577,山东,青年,政治,,,,
65,"北京电影学院现代创意媒体
学院",#N/A,北京,电影,电影学,北京电影学院,创意,媒体,
66,山东管理学院,675,山东,管理,,,,,
67,山东农业工程学院,696,山东,农业,工程,工程学院,,,
68,山东医学高等专科学校,#N/A,山东,医学,专科,专科学校,,,
69,菏泽医学专科学校,#N/A,菏泽,医学,专科,专科学校,,,
70,山东商业职业技术学院,#N/A,山东,商业,职业,商业职业,技术,,
71,山东电力高等专科学校,#N/A,山东,电力,山东电力,专科,专科学校,,
72,日照职业技术学院,#N/A,日照,职业,技术,,,,
73,曲阜远东职业技术学院,#N/A,曲阜,远东,职业,技术,,,
74,青岛职业技术学院,#N/A,青岛,职业,技术,,,,
75,威海职业学院,#N/A,威海,职业,,,,,
76,山东职业学院,#N/A,山东,职业,,,,,
77,山东劳动职业技术学院,#N/A,山东,劳动,职业,技术,,,
78,莱芜职业技术学院,#N/A,莱芜,职业,技术,,,,
79,济宁职业技术学院,#N/A,济宁,职业,技术,,,,
80,潍坊职业学院,#N/A,潍坊,职业,,,,,
81,烟台职业学院,#N/A,烟台,职业,,,,,
82,东营职业学院,#N/A,东营,职业,,,,,
83,聊城职业技术学院,#N/A,聊城,职业,技术,,,,
84,滨州职业学院,#N/A,滨州,职业,,,,,
85,山东科技职业学院,#N/A,山东,科技,职业,,,,
86,山东服装职业学院,#N/A,山东,服装,职业,,,,
87,德州科技职业学院,#N/A,德州,科技,职业,,,,
88,山东力明科技职业学院,#N/A,山东,力明,科技,职业,,,
89,山东圣翰财贸职业学院,#N/A,山东,圣翰,财贸,职业,,,
90,山东水利职业学院,#N/A,山东,水利,职业,,,,
91,山东畜牧兽医职业学院,#N/A,山东,畜牧,兽医,职业,,,
92,青岛飞洋职业技术学院,#N/A,青岛,飞洋,职业,技术,,,
93,东营科技职业学院,#N/A,东营,科技,职业,,,,
94,山东交通职业学院,#N/A,山东,交通,职业,,,,
95,淄博职业学院,#N/A,淄博,职业,,,,,
96,山东外贸职业学院,#N/A,山东,外贸,职业,,,,
97,青岛酒店管理职业技术学院,#N/A,青岛,酒店,管理,职业,技术,,
98,山东信息职业技术学院,#N/A,山东,信息,职业,技术,,,
99,青岛港湾职业技术学院,#N/A,青岛,港湾,职业,技术,,,
100,山东胜利职业学院,#N/A,山东,胜利,职业,,,,
101,山东经贸职业学院,#N/A,山东,经贸,职业,,,,
102,山东工业职业学院,#N/A,山东,工业,职业,,,,
103,山东化工职业学院,#N/A,山东,化工,职业,,,,
104,青岛求实职业技术学院,#N/A,青岛,求实,职业,技术,,,
105,济南职业学院,#N/A,济南,职业,,,,,
106,烟台工程职业技术学院,#N/A,烟台,工程,职业,技术,,,
107,山东凯文科技职业学院,#N/A,山东,凯文,科技,职业,,,
108,山东外国语职业学院,#N/A,山东,外国语,职业,,,,
109,潍坊工商职业学院,#N/A,潍坊,工商,商职,职业,工商职业,,
110,德州职业技术学院,#N/A,德州,职业,技术,,,,
111,枣庄科技职业学院,#N/A,枣庄,科技,职业,,,,
112,淄博师范高等专科学校,#N/A,淄博,师范,专科,专科学校,,,
113,山东中医药高等专科学校,#N/A,山东,中医,医药,中医药,专科,专科学校,
114,济南工程职业技术学院,#N/A,济南,工程,职业,技术,,,
115,山东电子职业技术学院,#N/A,山东,电子,职业,技术,,,
116,山东旅游职业学院,#N/A,山东,旅游,职业,,,,
117,山东铝业职业学院,#N/A,山东,铝业,山东铝业,职业,,,
118,山东杏林科技职业学院,#N/A,山东,杏林,科技,职业,,,
119,泰山职业技术学院,#N/A,泰山,职业,技术,,,,
120,山东外事翻译职业学院,#N/A,山东,外事,翻译,职业,,,
121,山东药品食品职业学院,#N/A,山东,药品,食品,职业,,,
122,山东商务职业学院,#N/A,山东,商务,职业,,,,
123,山东轻工职业学院,#N/A,山东,轻工,职业,,,,
124,山东城市建设职业学院,#N/A,山东,城市,建设,职业,,,
125,烟台汽车工程职业学院,#N/A,烟台,汽车,工程,职业,,,
126,山东司法警官职业学院,#N/A,山东,司法,警官,职业,,,
127,菏泽家政职业学院,#N/A,菏泽,家政,职业,,,,
128,山东传媒职业学院,#N/A,山东,传媒,职业,,,,
129,临沂职业学院,#N/A,临沂,职业,,,,,
130,枣庄职业学院,#N/A,枣庄,职业,,,,,
131,山东理工职业学院,#N/A,山东,理工,职业,,,,
132,山东文化产业职业学院,#N/A,山东,文化,产业,文化产业,职业,,
133,青岛远洋船员职业学院,#N/A,青岛,远洋,洋船,远洋船,员,职业,
134,济南幼儿师范高等专科学校,#N/A,济南,幼儿,师范,专科,专科学校,,
135,济南护理职业学院,#N/A,济南,护理,职业,护理职业,,,
136,泰山护理职业学院,#N/A,泰山,护理,职业,护理职业,,,
137,山东海事职业学院,#N/A,山东,海事,职业,海事职业,,,
138,潍坊护理职业学院,#N/A,潍坊,护理,职业,护理职业,,,
139,潍坊工程职业学院,#N/A,潍坊,工程,职业,,,,
140,菏泽职业学院,#N/A,菏泽,职业,,,,,
